Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/babel-plugin-named-asset-import/index.js replaceMatchingSpecifiers 66 8 195
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js checkForLatestVersion 1097 0 1847 =======> 0.130665808916
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 1098 21 1850 =======> 0.570660114288
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 1102 8 1854 =======> 0.491698473692
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 1105 27 1861 =======> 0.597671806812
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 1106 26 1863 =======> 0.512821495533
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/create-react-app/createReactApp.js nan 1114 19 1867 =======> 0.389136612415
Total edge above 0.9 ===>  1


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/react-dev-utils/ModuleNotFoundPlugin.js getRelativePath 60 17 2517
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/react-dev-utils/ModuleNotFoundPlugin.js nan 15 13 2444 =======> 0.308679550886
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/react-dev-utils/ModuleNotFoundPlugin.js nan 24 16 2455 =======> 0.103888332844
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/react-dev-utils/ModuleNotFoundPlugin.js nan 32 17 2466 =======> 0.294075965881
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/react-dev-utils/ModuleNotFoundPlugin.js nan 42 15 2481 =======> 0.144296899438
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/react-dev-utils/ModuleNotFoundPlugin.js nan 99 7 2578 =======> 0.076099231839
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/react-dev-utils/ModuleNotFoundPlugin.js nan 102 14 2588 =======> 0.110694624484
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/react-dev-utils/ModuleNotFoundPlugin.js nan 107 14 2601 =======> 0.265809893608
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/create-react-app/packages/react-dev-utils/ModuleNotFoundPlugin.js nan 108 32 2605 =======> 0.233820706606
