Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/benchmark/parse-100k-blog-rows.js createPacketBuffer 27 4 183
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/sequences/Query.js nan 223 20 6494 =======> 0.513842523098
Total edge above 0.9 ===>  1


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js _enqueue 198 9 716
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js Connection 13 0 518 =======> 0.800108075142
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js createQuery 25 25 533 =======> 0.754962921143
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js connect 64 31 572 =======> 0.798079729080
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js nan 84 30 592 =======> 0.800599873066
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js nan 87 53 599 =======> 0.826043844223
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js nan 90 29 602 =======> 0.872260451317
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js nan 93 52 607 =======> 0.908371567726
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js nan 110 35 644 =======> 0.818101704121
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js changeUser 119 34 650 =======> 0.719410955906
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js beginTransaction 141 40 673 =======> 0.618612766266
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js commit 154 30 683 =======> 0.450366079807
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js rollback 167 32 692 =======> 0.636567711830
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js query 180 29 700 =======> 0.834838807583
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js ping 201 28 719 =======> 0.742396473885
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js statistics 211 34 728 =======> 0.642099559307
