Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/dedupe.js _parse 21 4 294
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/tests/dedupe.js nan 66 42 775 =======> 0.023141928017
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/tests/dedupe.js nan 70 43 781 =======> 0.023144856095
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/tests/dedupe.js nan 74 36 787 =======> 0.023136237636
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/tests/dedupe.js nan 78 55 795 =======> 0.023132653907
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/tests/dedupe.js nan 80 13 800 =======> 0.250420570374
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/tests/dedupe.js nan 84 61 803 =======> 0.084256954491
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/tests/dedupe.js nan 85 15 806 =======> 0.143721893430
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/tests/dedupe.js nan 86 15 809 =======> 0.165623500943
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/tests/dedupe.js nan 87 30 811 =======> 0.355618357658
Total edge above 0.9 ===>  4


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/tests/dedupe.js Class2 90 22 818
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/dedupe.js nan 8 1 273 =======> 0.124335914850
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/dedupe.js nan 11 19 277 =======> 0.214382603765
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/dedupe.js StorageObject 14 2 278 =======> 0.494695723057
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/dedupe.js _parseArray 17 2 284 =======> 0.498286068439
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/dedupe.js _parseNumber 27 2 300 =======> 0.524855196476
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/dedupe.js _parseObject 31 2 303 =======> 0.511736154556
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/dedupe.js _parseString 47 2 324 =======> 0.413780301809
