/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 304 14 834 =======> 0.199978157878
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 307 13 838 =======> 0.007099385839
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 310 18 842 =======> 0.000001502411
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 316 21 847 =======> 0.001570958877
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 322 21 856 =======> 0.044442668557
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 330 26 865 =======> 0.000608372735
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 331 23 869 =======> 0.087333261967
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 351 71 892 =======> 0.000007431316
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 372 47 922 =======> 0.000005875027
Total edge above 0.9 ===>  5


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js _setActiveIndicatorElement 281 6 803
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 6 1 368 =======> 0.000002157181
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 10 10 403 =======> 0.006529508159
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 85 15 519 =======> 0.977649807930
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 100 22 540 =======> 0.000135706869
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 103 26 543 =======> 0.000147053113
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 106 19 546 =======> 0.000016312766
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 111 8 550 =======> 0.752162218094
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 114 19 555 =======> 0.942715406418
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 122 8 565 =======> 0.266058951616
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 125 9 568 =======> 0.945635080338
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 131 9 575 =======> 0.973767101765
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 134 35 581 =======> 0.955709934235
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 136 21 585 =======> 0.960245013237
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 141 52 592 =======> 0.936517238617
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/bootstrap/js/dist/carousel.js nan 146 6 598 =======> 0.321666926146
