Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js nfcall 31 8 62
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1546 26 1999 =======> 0.625483095646
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js fbound 1549 11 2004 =======> 0.774133622646
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1563 9 2010 =======> 0.016777418554
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1567 25 2015 =======> 0.016423687339
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js all 1581 0 2019 =======> 0.554631114006
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1582 26 2023 =======> 0.321722567081
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1585 31 2029 =======> 0.823668539524
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1596 20 2037 =======> 0.030019046739
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1603 20 2041 =======> 0.014407238923
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1616 24 2048 =======> 0.240818381310
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js any 1629 0 2052 =======> 0.896858096123
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1636 27 2060 =======> 0.682223796844
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js onFulfilled 1642 8 2069 =======> 0.044666048139
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js onRejected 1645 8 2071 =======> 0.062240913510
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js onProgress 1656 8 2078 =======> 0.065009601414
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1667 24 2082 =======> 0.029024541378
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js allResolved 1681 0 2087 =======> 0.001447804389
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1682 26 2090 =======> 0.562943220139
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1684 44 2096 =======> 0.140206888318
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1686 13 2099 =======> 0.016779109836
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1692 32 2101 =======> 0.015312802047
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js allSettled 1700 0 2105 =======> 0.045652024448
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1711 31 2109 =======> 0.009294588119
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1712 21 2112 =======> 0.142059639096
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1713 39 2116 =======> 0.993551254272
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js regardless 1715 12 2118 =======> 0.003945213743
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1733 13 2125 =======> 0.031694822013
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1738 29 2130 =======> 0.020875427872
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js progress 1751 0 2134 =======> 0.003489525756
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1755 29 2140 =======> 0.003109493060
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1771 15 2146 =======> 0.013014492579
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1776 31 2150 =======> 0.782632172108
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1781 21 2159 =======> 0.192559778690
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1782 37 2163 =======> 0.014496671036
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1785 7 2165 =======> 0.212077423930
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1787 37 2169 =======> 0.017650704831
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1799 9 2171 =======> 0.949887037277
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1803 25 2175 =======> 0.991030454636
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1804 27 2178 =======> 0.965513467789
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1807 19 2180 =======> 0.906175136566
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1838 12 2194 =======> 0.037054613233
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1842 28 2199 =======> 0.283226937056
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1844 31 2205 =======> 0.521647334099
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1852 14 2213 =======> 0.046547520906
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1855 7 2217 =======> 0.043094985187
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1872 10 2222 =======> 0.991597235203
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/q.js nan 1880 26 2229 =======> 0.005764363334
