/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 53 27 90 =======> 0.038886856288
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 58 39 97 =======> 0.007512258831
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 60 23 101 =======> 0.007674186025
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 61 49 105 =======> 0.034752368927
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 67 48 113 =======> 0.005459735636
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 70 35 118 =======> 0.006669939030
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js argDefined 80 1 129 =======> 0.156184211373
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js setKey 87 1 134 =======> 0.049025908113
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js setArg 123 1 175 =======> 0.329876363277
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 133 31 194 =======> 0.016665227711
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 139 34 199 =======> 0.001086835517
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 143 52 204 =======> 0.001355884480
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 252 31 318 =======> 0.003071895335
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 256 30 327 =======> 0.020241716877
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 265 19 333 =======> 0.018039727584
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/long.js nan 6 18 954 =======> 0.000011690170
Total edge above 0.9 ===>  4


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/parse.js parse 48 12 1092
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js hasKey 3 0 13 =======> 0.021307509392
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 5 27 24 =======> 0.033301513642
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js isNumber 13 0 30 =======> 0.040229823440
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js isConstructorOrProto 19 0 42 =======> 0.151369899511
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 23 17 48 =======> 0.998479068279
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 39 50 76 =======> 0.019746029750
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js isBooleanKey 46 1 80 =======> 0.081357441843
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 53 27 90 =======> 0.191368967295
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 58 39 97 =======> 0.124463073909
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 60 23 101 =======> 0.147173956037
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 61 49 105 =======> 0.094157300889
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 67 48 113 =======> 0.033759333193
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 70 35 118 =======> 0.028238384053
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js argDefined 80 1 129 =======> 0.046146210283
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js setKey 87 1 134 =======> 0.031931098551
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js setArg 123 1 175 =======> 0.537572860718
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 133 31 194 =======> 0.162280395627
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 139 34 199 =======> 0.128457486629
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 143 52 204 =======> 0.157227396965
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 252 31 318 =======> 0.021711157635
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 256 30 327 =======> 0.194294050336
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/index.js nan 265 19 333 =======> 0.198410317302
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/parse.js nan 6 19 1050 =======> 0.002587725641
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/parse.js nan 20 22 1070 =======> 0.001550054178
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/parse.js nan 47 21 1089 =======> 0.002244394505
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/parse.js nan 54 27 1103 =======> 0.001853888622
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/parse.js nan 71 27 1121 =======> 0.010545114987
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/parse.js nan 84 16 1136 =======> 0.003794870339
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/parse.js nan 95 19 1156 =======> 0.006404771004
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/minimist/test/parse.js nan 105 22 1172 =======> 0.004971683491
